Titulo,Título_Verif,Categoria,Link,Ranking,Avaliação,Qtd_Avaliação,Relevância,Qualidade da Imagem,Quantidade de Imagens,Vídeos,FBA,Bullets,Data
"Fone de ouvido sem fio TWS Philips TAT1209BK/00 na cor preto, com bluetooth, microfone, tecnologia IPX4 e 18 horas de reprodução.","(129, 'OK')",Fones de Ouvido,https://www.amazon.com.br/TAT1209BK-00-bluetooth-tecnologia-reprodu%C3%A7%C3%A3o/dp/B0CS3RHBZQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-1&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=m2HGw1-372EnG,3,"OK - 4.6, Ótima",2007,100.0,"('752x990', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,OK,22/04/2025
"Nintendo, Console + Jogo, Switch OLED Branco, Jogo Digital Mario Kart 8 Deluxe, 3 Meses de Assinatura Nintendo Switch Online","(124, 'OK')",Consoles,https://www.amazon.com.br/Bundle-Nintendo-Switch-Assinatura-Online/dp/B0D9WTRLTB/ref=sr_1_2?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-2&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,null,"OK - 4.8, Ótima",279,100.0,"('1041x1346', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
Processador AMD Ryzen 7 9800X3D (AM5/ 8 Cores/ 16 Threads/ 5.2 GHz/ 104Mb Cache/Radeon Graphics/Sem cooler),"(107, 'OK')",CPUs,https://www.amazon.com.br/Processador-AMD-Ryzen-9800X3D-Graphics/dp/B0DKFMSMYK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-3&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,11,"OK - 4.7, Ótima",1137,100.0,"('1331x1500', 'OK')",Adicionar mais 3 imagens,Adicionar um video,Sim,OK,22/04/2025
Caixa de Som Boombox Plus AIWA BBS-01-B 200W Bluetooth 30H IP66 USB Preto,"(73, 'OK')",Caixas de Som Portáteis Bluetooth,https://www.amazon.com.br/Caixa-Boombox-BBS-01-B-Bluetooth-Preto/dp/B0D7W6Q7L9/ref=sr_1_4?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-4&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,6,"OK - 4.5, Ótima",122,100.0,"('1500x870', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
"JBL, Par de Microfone Sem Fio, JBL PartyBox Wireless Mic - Preto","(64, 'OK')",Dinâmico,https://www.amazon.com.br/JBL-Par-Microfone-PartyBox-Wireless/dp/B0CY5PBPJD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,2,"OK - 4.8, Ótima",691,100.0,"('1264x1376', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 2 tópico(s),22/04/2025
Controle sem fio DualSense Edge™,"(32, 'OK')",Controles,https://www.amazon.com.br/Controle-sem-fio-DualSense-EdgeTM/dp/B0BMB8R1K6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,null,"OK - 4.7, Ótima",1440,100.0,"('892x648', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,Adicionar mais 3 tópico(s),22/04/2025
"Kit de Garrafas de Tinta Original Epson EcoTank T544 - Magenta, Amarelo, Ciano, Preto","(85, 'OK')",Recarga e Kits de Tinta para Jato de Tinta,https://www.amazon.com.br/Garrafas-Tinta-Original-Epson-EcoTank/dp/B09JKXGSLG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-7&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d&xpid=m2HGw1-372EnG,1,"OK - 4.8, Ótima",3870,100.0,"('1319x1500', 'OK')",Adicionar mais 4 imagens,Adicionar um video,Sim,Adicionar mais 2 tópico(s),22/04/2025
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto","(96, 'OK')",Impressoras de tanque de tinta,https://www.amazon.com.br/Multifuncional-Epson-EcoTank-L3250-Colorida/dp/B098YHFT9S/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-8&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,1,"OK - 4.8, Ótima",23565,100.0,"('876x517', 'Necessário alteração. Baixa resolução')",Adicionar mais 2 imagens,Adicionar um video,Sim,OK,22/04/2025
"AMD Ryzen 5 5600GT 6-Core, 24-Thread Processador Desktop","(56, 'OK')",CPUs,https://www.amazon.com.br/Processador-AMD-Ryzen-5600GT-Threads/dp/B0CQ4DTJYX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-9&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,3,"OK - 4.8, Ótima",929,100.0,"('1402x1495', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
"MSI Placa-mãe B650M GAMING WIFI, mATX - Suporta processadores AMD Ryzen série 7000, AM5 - DDR5 Memory Boost 7800+ MHz/OC, PCIe 4.0 x16, M.2 Gen4, Wi-Fi 6E","(154, 'OK')",Placas-Mãe,https://www.amazon.com.br/MSI-Placa-m%C3%A3e-B650M-GAMING-WIFI/dp/B0CRKR3HXN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,12,"OK - 4.2, Boa",50,63.6,"(nan, ""ERRO - 'float' object has no attribute 'lower'"")",Adicionar mais 1 imagens,Adicionar um video,Sim,OK,22/04/2025
